Processed 20 files:
C:\Users\fi_pr\Pictures\New folder\Angkor Wat_compressed.jpg with 0.18 MB now with 0.18 MB, saved 0.00 MB
C:\Users\fi_pr\Pictures\New folder\Buckingham Palace_compressed.jpeg with 0.99 MB now with 0.99 MB, saved 0.00 MB
C:\Users\fi_pr\Pictures\New folder\Chichen Itza_compressed.jpeg with 0.05 MB now with 0.05 MB, saved 0.00 MB
C:\Users\fi_pr\Pictures\New folder\Christ the Redeemer_compressed.jpg with 0.09 MB now with 0.09 MB, saved 0.00 MB
C:\Users\fi_pr\Pictures\New folder\Colosseum_compressed.jpg with 0.81 MB now with 2.30 MB, saved -1.50 MB
C:\Users\fi_pr\Pictures\New folder\Eiffel Tower_compressed.jpg with 0.16 MB now with 0.16 MB, saved 0.00 MB
C:\Users\fi_pr\Pictures\New folder\Great Wall of China_compressed.jpg with 0.78 MB now with 1.91 MB, saved -1.14 MB
C:\Users\fi_pr\Pictures\New folder\Hagia Sophia_compressed.jpg with 0.39 MB now with 0.39 MB, saved 0.00 MB
C:\Users\fi_pr\Pictures\New folder\Machu Picchu_compressed.jpg with 0.67 MB now with 0.67 MB, saved 0.00 MB
C:\Users\fi_pr\Pictures\New folder\Mount Rushmore_compressed.jpg with 0.10 MB now with 0.10 MB, saved 0.00 MB
C:\Users\fi_pr\Pictures\New folder\Petra_compressed.jpg with 0.83 MB now with 2.07 MB, saved -1.24 MB
C:\Users\fi_pr\Pictures\New folder\Pyramids of Giza_compressed.png with 1.62 MB now with 1.62 MB, saved 0.00 MB
C:\Users\fi_pr\Pictures\New folder\Sagrada Familia_compressed.jpg with 0.15 MB now with 0.62 MB, saved -0.46 MB
C:\Users\fi_pr\Pictures\New folder\Statue of Liberty_compressed.jpg with 0.26 MB now with 0.26 MB, saved 0.00 MB
C:\Users\fi_pr\Pictures\New folder\Stonehenge_compressed.jpg with 0.68 MB now with 2.34 MB, saved -1.65 MB
C:\Users\fi_pr\Pictures\New folder\Sydney Opera House_compressed.jpg with 0.31 MB now with 1.31 MB, saved -1.00 MB
C:\Users\fi_pr\Pictures\New folder\Taj Mahal_compressed.jpg with 0.21 MB now with 0.21 MB, saved 0.00 MB
C:\Users\fi_pr\Pictures\New folder\The Acropolis_compressed.jpg with 0.60 MB now with 0.60 MB, saved 0.00 MB
C:\Users\fi_pr\Pictures\New folder\The Great Pyramid of Giza_compressed.jpg with 0.14 MB now with 0.14 MB, saved 0.00 MB
C:\Users\fi_pr\Pictures\New folder\The Parthenon_compressed.jpg with 0.55 MB now with 1.52 MB, saved -0.96 MB
Successfully compressed 0 images.
20 images were not compressed.
In total, we saved -7.96 MB
